Titre;question;type de réponse;réponse;statut de la réponse
;Quelles sont les affirmations correctes sur le rôle de l’informateur promotionnel ?;1;"Porter à la connaissance du département PV les effets indésirables ou usage 
non conforme recueillis auprès des professionnels de santé";1
;Quelles sont les affirmations correctes sur le rôle de l’informateur promotionnel ?;1;Conseiller le professionnel de santé sur l’utilisation hors-AMM;0
;Quelles sont les affirmations correctes sur le rôle de l’informateur promotionnel ?;1;"Fournir au professionnel de santé les PGR et PMR du produit présenté
quand ils existent ";1
;Quelles sont les affirmations correctes sur le rôle de l’informateur promotionnel ?;1;"Donner des informations sur un médicament en cours de réévaluation
du rapport bénéfice/risque";0
;Quels éléments doivent être mentionnés sur les documents et les supports promotionnels utilisés par les informateurs ?;1;"Numéro de visa de l’ANSM, et/ou référence du document, en cours de validité 
sur les documents produit";1
;Quels éléments doivent être mentionnés sur les documents et les supports promotionnels utilisés par les informateurs ?;1;Date de production ou date de mise à jour du support;1
;Quels éléments doivent être mentionnés sur les documents et les supports promotionnels utilisés par les informateurs ?;1;La ou les indications thérapeutiques de l’AMM pour le bon usage du médicament;1
;L’entreprise a l’obligation d’évaluer les connaissances règlementaires et scientifiques et de former si nécessaire :;1;"Toute personne exerçant une activité d’information promotionnelle 
par démarchage ou prospection";1
;L’entreprise a l’obligation d’évaluer les connaissances règlementaires et scientifiques et de former si nécessaire :;1;"Toute personne ayant des fonctions d’encadrement et amenée à faire
des « visites duos »";1
;L’entreprise a l’obligation d’évaluer les connaissances règlementaires et scientifiques et de former si nécessaire :;1;Tous les salariés de l’entreprise;0
;Quand l’entreprise doit-elle évaluer les connaissances règlementaires et scientifiques des informateurs promotionnels ?;1;Lors de leur intégration dans l’entreprise;1
;Quand l’entreprise doit-elle évaluer les connaissances règlementaires et scientifiques des informateurs promotionnels ?;1;Une fois par an;1
;Quand l’entreprise doit-elle évaluer les connaissances règlementaires et scientifiques des informateurs promotionnels ?;1;Après une interruption d’activité de plus de 6 mois;1
;Quand l’entreprise doit-elle évaluer les connaissances règlementaires et scientifiques des informateurs promotionnels ?;1;Uniquement en cas d’audit;0
;Qui attribue la carte professionnelle des informateurs promotionnels ?;2;L’entreprise elle-même via son pharmacien responsable;0
;Qui attribue la carte professionnelle des informateurs promotionnels ?;2;Le LEEM via l’AGVM;1
;Qui attribue la carte professionnelle des informateurs promotionnels ?;2;Le CEPS;0
;Quels sont les garants de l’application de la charte au sein de l’entreprise ?;1;Le directeur de l’entreprise (DG, Directeur business ou autre appellation);1
;Quels sont les garants de l’application de la charte au sein de l’entreprise ?;1;Le pharmacien responsable;1
;Quels sont les garants de l’application de la charte au sein de l’entreprise ?;1;Le responsable scientifique et médical;0
;Le pharmacien responsable de l’entreprise doit s’assurer que la préparation à la présentation orale des informateurs promotionnels est maitrisée.;2;Vrai;1
;Le pharmacien responsable de l’entreprise doit s’assurer que la préparation à la présentation orale des informateurs promotionnels est maitrisée.;2;Faux;0
;Que comportent vos évaluations annuelles obligatoires au sein du laboratoire ? ;1;Une évaluation sur les 7 modules règlementaires obligatoires;1
;Que comportent vos évaluations annuelles obligatoires au sein du laboratoire ? ;1;Une évaluation sur l’environnement de la pathologie concerné par le médicament;1
;Que comportent vos évaluations annuelles obligatoires au sein du laboratoire ? ;1;Une évaluation sur chaque produit dont vous faites la promotion;1
