Titre;question;type de réponse;réponse;statut de la réponse
;Un informateur promotionnel peut-il donner des informations sur un médicament en cours de réévaluation du rapport bénéfice/risque ?;2;Oui;0
;Un informateur promotionnel peut-il donner des informations sur un médicament en cours de réévaluation du rapport bénéfice/risque ?;2;Non;1
;L’informateur promotionnel peut recruter des professionnels de santé pour une étude menée par son entreprise.;2;VRAI;0
;L’informateur promotionnel peut recruter des professionnels de santé pour une étude menée par son entreprise.;2;FAUX;1
;L’informateur promotionnel doit faire remonter à son entreprise tous les effets indésirables et les utilisations hors AMM portés à sa connaissance.;2;VRAI;1
;L’informateur promotionnel doit faire remonter à son entreprise tous les effets indésirables et les utilisations hors AMM portés à sa connaissance.;2;FAUX;0
;Quel est le rôle de l’informateur promotionnel lors d’une visite à un professionnel de santé ?;1;Respecter les dispositions légales et les orientations de l’entreprise;1
;Quel est le rôle de l’informateur promotionnel lors d’une visite à un professionnel de santé ?;1;Recruter des médecins pour des études en cours de son entreprise;0
;Quel est le rôle de l’informateur promotionnel lors d’une visite à un professionnel de santé ?;1;Délivrer une information de qualité dans le strict respect de l’AMM;1
;Quel est le rôle de l’informateur promotionnel lors d’une visite à un professionnel de santé ?;1;Assurer une utilisation conforme au bon usage;1
;L’informateur doit remettre au professionnel de santé l’ensemble des documents de minimisation des risques prévus par les PGR ou les PMR quand ils sont disponibles.;2;VRAI;1
;L’informateur doit remettre au professionnel de santé l’ensemble des documents de minimisation des risques prévus par les PGR ou les PMR quand ils sont disponibles.;2;FAUX;0
;Le CEPS peut fixer des objectifs annuels chiffrés d'évolution des pratiques promotionnelles pour certains produits.;2;VRAI;1
;Le CEPS peut fixer des objectifs annuels chiffrés d'évolution des pratiques promotionnelles pour certains produits.;2;FAUX;0
;Quels sont les critères des enquêtes de qualité de la promotion des visites menées par l’observatoire National de l’Information Promotionnelle (ONIP)?;1;Contenu de l’information délivrée;1
;Quels sont les critères des enquêtes de qualité de la promotion des visites menées par l’observatoire National de l’Information Promotionnelle (ONIP)?;1;Satisfaction des professionnels de santé;1
;Quels sont les critères des enquêtes de qualité de la promotion des visites menées par l’observatoire National de l’Information Promotionnelle (ONIP)?;1;Spécialité du professionnel de santé;1
;Quels sont les critères des enquêtes de qualité de la promotion des visites menées par l’observatoire National de l’Information Promotionnelle (ONIP)?;1;Description de la visite;1
;;;;
;;;;
;;;;
