Titre;question;type de réponse;réponse;statut de la réponse
;Durant combien d’années une molécule est-elle protégée par son brevet ?;2;5 ans;0
;Durant combien d’années une molécule est-elle protégée par son brevet ?;2;10 ans;0
;Durant combien d’années une molécule est-elle protégée par son brevet ?;2;15 ans;0
;Durant combien d’années une molécule est-elle protégée par son brevet ?;2;20 ans;1
;Quelle affirmation est correcte concernant la vie du médicament après l’expiration du brevet ?;2;Il peut être génériqué;1
;Quelle affirmation est correcte concernant la vie du médicament après l’expiration du brevet ?;2;Il est déremboursé;0
;Quelle affirmation est correcte concernant la vie du médicament après l’expiration du brevet ?;2;Il ne doit plus être commercialisé;0
;Quelle affirmation est correcte concernant la vie du médicament après l’expiration du brevet ?;2;Il n’est plus sous surveillance (pharmacovigilance);0
;Quelle affirmation est correcte concernant les biosimilaires ?;2;Les biosimilaires sont inscrits au répertoire des groupes génériques;0
;Quelle affirmation est correcte concernant les biosimilaires ?;2;Le biosimilaire est issu de la biotechnologie;1
;Quelle affirmation est correcte concernant les biosimilaires ?;2;Le biosimilaire est strictement identique au produit de référence;0
;Un biosimilaire est un médicament similaire à un médicament biologique dit de référence et dont le brevet est tombé dans le domaine public.;2;VRAI;1
;Un biosimilaire est un médicament similaire à un médicament biologique dit de référence et dont le brevet est tombé dans le domaine public.;2;FAUX;0
;Quelles propositions sont vraies concernant le générique ?;1;Même composition qualitative et quantitative en substances actives que le référent;1
;Quelles propositions sont vraies concernant le générique ?;1;Même composition qualitative et quantitative en excipients que le référent;0
;Quelles propositions sont vraies concernant le générique ?;1;Bioéquivalence démontrée avec le référent;1
;Quelles propositions sont vraies concernant le générique ?;1;Peut avoir une voie d’administration différente de celle du princeps;0
;Le générique peut porter un nom de marque propre avec la mention Gé, s’il fait l’objet d’un remboursement.;2;VRAI;1
;Le générique peut porter un nom de marque propre avec la mention Gé, s’il fait l’objet d’un remboursement.;2;FAUX;0
;Quelles sont les affirmations correctes concernant les médicaments d’exception ?;1;Leur prise en charge peut varier selon l'indication;1
;Quelles sont les affirmations correctes concernant les médicaments d’exception ?;1;Ils doivent toujours être prescrits sur une ordonnance particulière dite « d’exception » si l'indication concernée est listée sur la FIT;1
;Quelles sont les affirmations correctes concernant les médicaments d’exception ?;1;Il existe une liste des médicaments d’exception;1
;L’ANSM intervient dès les essais cliniques pour les vaccins.;2;VRAI;1
;L’ANSM intervient dès les essais cliniques pour les vaccins.;2;FAUX;0
;Quelles affirmations sont correctes concernant les vaccins ? ;1;L’ANSM intervient dès les essais cliniques;1
;Quelles affirmations sont correctes concernant les vaccins ? ;1;Les vaccins sont des médicaments immunologiques;1
;Quelles affirmations sont correctes concernant les vaccins ? ;1;Il existe un comité technique des vaccinations;1
;Quelles affirmations sont correctes concernant les vaccins ? ;1;Les autorisations d’importation sont interdites;0
;Quelles sont les bonnes propositions concernant les médicaments orphelins ?;1;Ils sont destinés au traitement des maladies rares;1
;Quelles sont les bonnes propositions concernant les médicaments orphelins ?;1;Ils peuvent disposer d’une ATU;1
;Quelles sont les bonnes propositions concernant les médicaments orphelins ?;1;Ils sont prescrits sur une ordonnance spécifique à ce statut;0
;Le pharmacien peut toujours substituer un médicament.;2;VRAI;0
;Le pharmacien peut toujours substituer un médicament.;2;FAUX;1
