Titre;question;type de réponse;réponse;statut de la réponse
;La charte de l’information promotionnelle mentionne que les entreprises doivent délivrer une information fiable et de qualité respectant les dispositions réglementaires. ;2;Vrai ;1
;La charte de l’information promotionnelle mentionne que les entreprises doivent délivrer une information fiable et de qualité respectant les dispositions réglementaires. ;2;Faux ;0
;Les éléments promotionnels doivent toujours être conformes à l’AMM.  ;2;Vrai ;1
;Les éléments promotionnels doivent toujours être conformes à l’AMM.  ;2;Faux ;0
;Quelles sont les affirmations correctes concernant les messages promotionnels ?;1;Les éléments promotionnels sont conformes à l’AMM;1
;Quelles sont les affirmations correctes concernant les messages promotionnels ?;1;Seules les indications et contre-indications peuvent être présentées;0
;Quelles sont les affirmations correctes concernant les messages promotionnels ?;1;Ils sont référencés et vérifiables ;1
;Quelles sont les affirmations correctes concernant les messages promotionnels ?;1;Ils doivent inclure la date à laquelle l’information a été définie ou mise à jour;1
;Qui est responsable du contrôle interne des documents promotionnels dans l’entreprise ?;2;Le chef produit;0
;Qui est responsable du contrôle interne des documents promotionnels dans l’entreprise ?;2;Le responsable de pharmacovigilance;0
;Qui est responsable du contrôle interne des documents promotionnels dans l’entreprise ?;2;Le pharmacien responsable ;1
;Qui est responsable du contrôle interne des documents promotionnels dans l’entreprise ?;2;Le responsable scientifique;0
;Qui délivre le visa de publicité nécessaire à l'utilisation d'un document promotionnel d'un médicament ?;2;L’ANSM ;1
;Qui délivre le visa de publicité nécessaire à l'utilisation d'un document promotionnel d'un médicament ?;2;La HAS;0
;Qui délivre le visa de publicité nécessaire à l'utilisation d'un document promotionnel d'un médicament ?;2;Le CEPS;0
;Qui délivre le visa de publicité nécessaire à l'utilisation d'un document promotionnel d'un médicament ?;2;Le pharmacien responsable;0
;Quelles sont les sanctions pour l’entreprise en cas de non-respect des règles de publicité ? ;1;Retrait du produit du marché;0
;Quelles sont les sanctions pour l’entreprise en cas de non-respect des règles de publicité ? ;1;Sanctions pénales;1
;Quelles sont les sanctions pour l’entreprise en cas de non-respect des règles de publicité ? ;1;Interdiction de publicité de plusieurs mois;0
;Quelles sont les sanctions pour l’entreprise en cas de non-respect des règles de publicité ? ;1;Sanctions financières ;1
;Quelles sont les affirmations correctes sur les documents promotionnels utilisés par l’informateur promotionnel lors d’une visite :;1;Documents exclusivement inscrits sur la liste positive;1
;Quelles sont les affirmations correctes sur les documents promotionnels utilisés par l’informateur promotionnel lors d’une visite :;1;Documents approuvés par le pharmacien responsable;1
;Quelles sont les affirmations correctes sur les documents promotionnels utilisés par l’informateur promotionnel lors d’une visite :;1;Documents déposés a posteriori à l’ANSM ;0
;Quelles sont les affirmations correctes sur les documents promotionnels utilisés par l’informateur promotionnel lors d’une visite :;1;Documents ayant reçu un visa;1
;Lorsque vous utilisez des supports de visite audio ou vidéo, aucun document papier ne doit être remis au médecin.  ;2;Vrai ;0
;Lorsque vous utilisez des supports de visite audio ou vidéo, aucun document papier ne doit être remis au médecin.  ;2;Faux ;1
;L’informateur promotionnel peut se charger de l’envoi des échantillons médicaux au médecin.;2;Vrai ;0
;L’informateur promotionnel peut se charger de l’envoi des échantillons médicaux au médecin.;2;Faux ;1
;Les entreprises remettant des échantillons doivent organiser le contrôle de cette remise et le suivi des échantillons.  ;2;Vrai ;1
;Les entreprises remettant des échantillons doivent organiser le contrôle de cette remise et le suivi des échantillons.  ;2;Faux ;0
