Titre;question;type de réponse;réponse;statut de la réponse
;Pouvez-vous présenter les résultats d’un essai clinique où le médicament est utilisé avec une posologie différente de celle du RCP ?;2;Oui ;0
;Pouvez-vous présenter les résultats d’un essai clinique où le médicament est utilisé avec une posologie différente de celle du RCP ?;2;Non;1
;Quelles affirmations sont correctes concernant les informations apportées aux professionnels ?;1;La promotion d’un médicament sans AMM est autorisée;0
;Quelles affirmations sont correctes concernant les informations apportées aux professionnels ?;1;Les informations sur le produit présenté proviennent majoritairement du dossier d’AMM;1
;Quelles affirmations sont correctes concernant les informations apportées aux professionnels ?;1;Les informations doivent être conformes au RCP du produit;1
;Quelles affirmations sont correctes concernant les informations apportées aux professionnels ?;1;Les informations doivent être conformes à l’avis de la commission de transparence;1
;De combien de temps dispose l’ANSM pour évaluer le dossier publicitaire ?;2;2 semaines après la fin de période de dépôt du dossier;0
;De combien de temps dispose l’ANSM pour évaluer le dossier publicitaire ?;2;1 mois après la fin de période de dépôt du dossier;0
;De combien de temps dispose l’ANSM pour évaluer le dossier publicitaire ?;2;2 mois après la fin de période de dépôt du dossier;1
;De combien de temps dispose l’ANSM pour évaluer le dossier publicitaire ?;2;6 mois après la fin de période de dépôt du dossier;0
;Quelle(s) donnée(s) sont notamment mentionnées dans le RCP ?;1;Date de la dernière révision de l’AMM;1
;Quelle(s) donnée(s) sont notamment mentionnées dans le RCP ?;1;Données cliniques;1
;Quelle(s) donnée(s) sont notamment mentionnées dans le RCP ?;1;Données économiques;0
;Une correspondance individuelle adressée au médecin par le service d’information médicale pour prévenir d’un changement d’emballage est-elle considérée comme de la publicité ?;2;Oui ;0
;Une correspondance individuelle adressée au médecin par le service d’information médicale pour prévenir d’un changement d’emballage est-elle considérée comme de la publicité ?;2;Non;1
;Une campagne d’information sur les maladies cardio-vasculaires est une information non promotionnelle.;2;VRAI;1
;Une campagne d’information sur les maladies cardio-vasculaires est une information non promotionnelle.;2;FAUX;0
;Un aide de visite, destiné à la présentation du médicament aux professionnels de la santé, est considéré comme un support publicitaire.  ;2;VRAI;1
;Un aide de visite, destiné à la présentation du médicament aux professionnels de la santé, est considéré comme un support publicitaire.  ;2;FAUX;0
;La publicité est-elle autorisée pour un médicament faisant l’objet d’une réévaluation de son rapport bénéfices / risques ?;2;Oui ;0
;La publicité est-elle autorisée pour un médicament faisant l’objet d’une réévaluation de son rapport bénéfices / risques ?;2;Non;1
;Lors d’une information promotionnelle, pouvez-vous occulter certains effets indésirables graves de votre médicament ?;2;Oui ;0
;Lors d’une information promotionnelle, pouvez-vous occulter certains effets indésirables graves de votre médicament ?;2;Non;1
;Quel document indique la place du médicament dans la pathologie visée et la stratégie thérapeutique ?;2;L’avis de la commission de transparence;1
;Quel document indique la place du médicament dans la pathologie visée et la stratégie thérapeutique ?;2;Les recommandations de l’ANSM;0
;Les fiches de bon Usage du médicament…;1;Sont publiés par l’ANSM;0
;Les fiches de bon Usage du médicament…;1;Présentent les résultats d’évaluation d’un médicament ou d’une classe thérapeutique par la Commission de la Transparence;1
;Les fiches de bon Usage du médicament…;1;Sont obligatoirement remises à chaque visite;0
;Les fiches de bon Usage du médicament…;1;Permettent de préciser la place du médicament dans la stratégie thérapeutique;1
;Quel document contient le service médical rendu et l’amélioration du service médical rendu du médicament présenté ?;2;La fiche de bon usage du médicament;0
;Quel document contient le service médical rendu et l’amélioration du service médical rendu du médicament présenté ?;2;L’avis de la commission de transparence;1
;Quel document contient le service médical rendu et l’amélioration du service médical rendu du médicament présenté ?;2;La fiche de transparence;0
;Quel document contient le service médical rendu et l’amélioration du service médical rendu du médicament présenté ?;2;La fiche d’information thérapeutique;0
;La correspondance individuelle est un document non promotionnel uniquement s’il s’agit d’une réponse à une question précise posée par un professionnel de santé sur un médicament particulier. ;2;VRAI;1
;La correspondance individuelle est un document non promotionnel uniquement s’il s’agit d’une réponse à une question précise posée par un professionnel de santé sur un médicament particulier. ;2;FAUX;0
