Titre;question;type de réponse;réponse;statut de la réponse
;L’avis de la Commission de la Transparence doit être obligatoirement présenté par l’informateur promotionnel lors de chaque visite. ;2;VRAI;1
;L’avis de la Commission de la Transparence doit être obligatoirement présenté par l’informateur promotionnel lors de chaque visite. ;2;FAUX;0
;Qui rédige les fiches de transparence, de bon usage du médicament, d’information thérapeutique et l’ACT ?;2;Le CEPS;0
;Qui rédige les fiches de transparence, de bon usage du médicament, d’information thérapeutique et l’ACT ?;2;La Commission de la Transparence;1
;Qui rédige les fiches de transparence, de bon usage du médicament, d’information thérapeutique et l’ACT ?;2;L’ANSM;0
;L’entreprise peut commercialiser un produit remboursable et remboursé avant la parution officielle au Journal Officiel de ses prix et taux de remboursement.;2;VRAI;0
;L’entreprise peut commercialiser un produit remboursable et remboursé avant la parution officielle au Journal Officiel de ses prix et taux de remboursement.;2;FAUX;1
;Au bout de combien de temps l'inscription sur la liste des spécialités remboursables au JO doit-elle être renouvelée ?;2;1 an;0
;Au bout de combien de temps l'inscription sur la liste des spécialités remboursables au JO doit-elle être renouvelée ?;2;2 ans;0
;Au bout de combien de temps l'inscription sur la liste des spécialités remboursables au JO doit-elle être renouvelée ?;2;3 ans;0
;Au bout de combien de temps l'inscription sur la liste des spécialités remboursables au JO doit-elle être renouvelée ?;2;5 ans;1
;La CEESP analyse le rapport entre les coûts engagés et les bénéfices attendus ou observés pour la santé et la qualité de vie des personnes concernées.;2;VRAI;1
;La CEESP analyse le rapport entre les coûts engagés et les bénéfices attendus ou observés pour la santé et la qualité de vie des personnes concernées.;2;FAUX;0
;Les avis de la Commission de la Transparence de tous les médicaments sont disponibles à tout moment sur le site de :;2;L’ANSM;0
;Les avis de la Commission de la Transparence de tous les médicaments sont disponibles à tout moment sur le site de :;2;L’EMA;0
;Les avis de la Commission de la Transparence de tous les médicaments sont disponibles à tout moment sur le site de :;2;La HAS;1
;Devez-vous informer le médecin de l’existence d’un TFR ?;2;Oui;1
;Devez-vous informer le médecin de l’existence d’un TFR ?;2;Non;0
;Le prix public de toutes les spécialités génériques, au sein d’un même groupe soumis au TFR, est identique.;2;Oui;1
;Le prix public de toutes les spécialités génériques, au sein d’un même groupe soumis au TFR, est identique.;2;Non;0
;Le remboursement de toutes les spécialités génériques, au sein d’un même groupe soumis au TFR, est égal au tarif forfaitaire de responsabilité.;2;Oui;1
;Le remboursement de toutes les spécialités génériques, au sein d’un même groupe soumis au TFR, est égal au tarif forfaitaire de responsabilité.;2;Non;0
