Titre;question;type de réponse;réponse;statut de la réponse
;La pharmacovigilance permet :;1;De connaître les effets indésirables induits par les médicaments;1
;La pharmacovigilance permet :;1;De prévenir et gérer le risque d'effets indésirables résultant de l'utilisation des médicaments;1
;La pharmacovigilance permet :;1;De favoriser et veiller au bon usage des médicaments;1
;Les laboratoires ont l’obligation de déclarer aux autorités compétentes les cas de pharmacovigilance.;2;VRAI;1
;Les laboratoires ont l’obligation de déclarer aux autorités compétentes les cas de pharmacovigilance.;2;FAUX;0
;Suite à des cas de pharmacovigilance, l’ANSM peut :;1;Suspendre un médicament potentiellement dangereux;1
;Suite à des cas de pharmacovigilance, l’ANSM peut :;1;Retirer du marché un médicament;1
;Suite à des cas de pharmacovigilance, l’ANSM peut :;1;Fixer des conditions restrictives à l’utilisation d’un médicament;1
;Au moment de l’obtention de l’AMM tous les effets indésirables d’un médicament sont connus.;2;VRAI;0
;Au moment de l’obtention de l’AMM tous les effets indésirables d’un médicament sont connus.;2;FAUX;1
;La pharmacovigilance permet d’identifier des populations à risque d’effet indésirable.;2;VRAI;1
;La pharmacovigilance permet d’identifier des populations à risque d’effet indésirable.;2;FAUX;0
