Titre;question;type de réponse;réponse;statut de la réponse
;Dans la liste suivante, quels sont les effets indésirables graves ?;1;Effet indésirable fatal;1
;Dans la liste suivante, quels sont les effets indésirables graves ?;1;Effet indésirable susceptible de mettre la vie en danger;1
;Dans la liste suivante, quels sont les effets indésirables graves ?;1;Effet indésirable entrainant une invalidité ou une incapacité grave et permanente;1
;Dans la liste suivante, quels sont les effets indésirables graves ?;1;Un saignement stoppé rapidement par le patient;0
;Dans la liste suivante, quels sont les effets indésirables graves ?;1;Effet indésirable provoquant ou prolongeant l'hospitalisation;1
;Un effet indésirable préjuge d’un lien de cause à effet avec une exposition à un médicament :;2;VRAI;1
;Un effet indésirable préjuge d’un lien de cause à effet avec une exposition à un médicament :;2;FAUX;0
;La pharmacovigilance concerne notamment la surveillance des dispositifs médicaux.;2;VRAI;0
;La pharmacovigilance concerne notamment la surveillance des dispositifs médicaux.;2;FAUX;1
;Un effet indésirable chez un patient traité par un médicament :;2;Est une réaction nocive et non voulue;1
;Un effet indésirable chez un patient traité par un médicament :;2;Est une réaction bénéfique voulue;0
;Un effet indésirable chez un patient traité par un médicament :;2;Est toujours une réaction bénéfique mais non voulue;0
;Un effet indésirable est grave s’il entraîne le décès, une mise en danger de la vie du patient ou une invalidité ou incapacité importante ou durable.;2;VRAI;1
;Un effet indésirable est grave s’il entraîne le décès, une mise en danger de la vie du patient ou une invalidité ou incapacité importante ou durable.;2;FAUX;0
;A quoi correspond cette définition : « Usage excessif intentionnel, persistant ou sporadique, de médicaments, accompagné de réactions physiques ou psychologiques nocives » ?;2;Surdosage;0
;A quoi correspond cette définition : « Usage excessif intentionnel, persistant ou sporadique, de médicaments, accompagné de réactions physiques ou psychologiques nocives » ?;2;Dépendance;0
;A quoi correspond cette définition : « Usage excessif intentionnel, persistant ou sporadique, de médicaments, accompagné de réactions physiques ou psychologiques nocives » ?;2;Abus;1
;Un effet indésirable n’est pris en compte que si l’utilisation du produit est conforme au RCP.;2;VRAI;0
;Un effet indésirable n’est pris en compte que si l’utilisation du produit est conforme au RCP.;2;FAUX;1
