Titre;question;type de réponse;réponse;statut de la réponse
;Pourquoi tout effet indésirable doit être signalé ?;1;Pour ré-évaluer en permanence la balance bénéfices / risques d’un traitement;1
;Pourquoi tout effet indésirable doit être signalé ?;1;Pour se retourner contre le médecin qui a prescrit le médicament;0
;Pourquoi tout effet indésirable doit être signalé ?;1;Pour augmenter la sécurité des patients;1
;A quoi peut-on attribuer une non-conformité pour un médicament ? ;1;Une déviation importante sur les bonnes pratiques de distribution;1
;A quoi peut-on attribuer une non-conformité pour un médicament ? ;1;Une déviation importante sur les bonnes pratiques de fabrication;1
;Les objectifs de la pharmacovigilance sont :;1;D’identifier et de recueillir les effets indésirables auprès des professionnels de santé;1
;Les objectifs de la pharmacovigilance sont :;1;D’étudier les risques liés à l’utilisation d’un médicament;1
;Les objectifs de la pharmacovigilance sont :;1;De trouver de nouvelles indications thérapeutiques;0
;Les objectifs de la pharmacovigilance sont :;1;De protéger le patient en identifiant les facteurs de risque;1
;Suite à une réclamation avérée d’un défaut de qualité susceptible d’avoir des conséquences pour la santé ou la sécurité des patients, comment sont prévenus les autorités compétentes des autres pays européens ?;2;Eudravigilance;0
;Suite à une réclamation avérée d’un défaut de qualité susceptible d’avoir des conséquences pour la santé ou la sécurité des patients, comment sont prévenus les autorités compétentes des autres pays européens ?;2;Rapid Alerte;1
;Suite à une réclamation avérée d’un défaut de qualité susceptible d’avoir des conséquences pour la santé ou la sécurité des patients, comment sont prévenus les autorités compétentes des autres pays européens ?;2;Med Alerte;0
