Titre;question;type de réponse;réponse;statut de la réponse
;Quels lieux sont concernés par la charte de l’information promotionnelle?;1;Le cabinet du médecin ;1
;Quels lieux sont concernés par la charte de l’information promotionnelle?;1;L’établissement de santé;1
;Quels lieux sont concernés par la charte de l’information promotionnelle?;1;L’officine;1
;Quels lieux sont concernés par la charte de l’information promotionnelle?;1;Les congrès;1
;Quelles sont les informations pharmaco-thérapeutiques qui doivent être transmises par l’informateur promotionnel aux professionnels de santé ?;1;Indications thérapeutiques de l’AMM;1
;Quelles sont les informations pharmaco-thérapeutiques qui doivent être transmises par l’informateur promotionnel aux professionnels de santé ?;1;Posologies (en particulier les posologies pédiatriques si elles existent);1
;Quelles sont les informations pharmaco-thérapeutiques qui doivent être transmises par l’informateur promotionnel aux professionnels de santé ?;1;Durées de traitement;1
;Quelles sont les informations pharmaco-thérapeutiques qui doivent être transmises par l’informateur promotionnel aux professionnels de santé ?;1;Effets indésirables et contre-indications;1
;Quelles sont les informations pharmaco-thérapeutiques qui doivent être transmises par l’informateur promotionnel aux professionnels de santé ?;1;Interactions médicamenteuses et éléments de surveillance;1
;Quelles sont les informations pharmaco-thérapeutiques qui doivent être transmises par l’informateur promotionnel aux professionnels de santé ?;1;Conditions de prescription;1
;Quelles informations l’informateur promotionnel doit-il faire remonter à son laboratoire ?;1;Les effets indésirables portés à sa connaissance;1
;Quelles informations l’informateur promotionnel doit-il faire remonter à son laboratoire ?;1;Le nom des concurrents croisés lors d’une visite;0
;Quelles informations l’informateur promotionnel doit-il faire remonter à son laboratoire ?;1;Les utilisations non conformes à l’AMM;1
;En cas de prescription non conforme à l’AMM, quelle est la procédure prévue par la charte ?;1;L’informateur doit en informer son entreprise quand il en a connaissance;1
;En cas de prescription non conforme à l’AMM, quelle est la procédure prévue par la charte ?;1;Si aucun effet indésirable n’est constaté, l’entreprise n’a aucune obligation;0
;En cas de prescription non conforme à l’AMM, quelle est la procédure prévue par la charte ?;1;Le CEPS peut demander la communication d’une information corrective;1
;En cas de prescription non conforme à l’AMM, quelle est la procédure prévue par la charte ?;1;L’entreprise peut diffuser des messages correctifs auprès des professionnels;1
;Lors d’une information promotionnelle, quelles études postérieures à l’AMM peuvent être utilisées ?;1;Celles publiées dans une revue à comité de lecture;1
;Lors d’une information promotionnelle, quelles études postérieures à l’AMM peuvent être utilisées ?;1;Toutes les études en cours;0
;Lors d’une information promotionnelle, quelles études postérieures à l’AMM peuvent être utilisées ?;1;"Celles réalisées dans les conditions d’utilisation du médicament 
définies par l’AMM";1
;Lors d’une information promotionnelle, quelles études postérieures à l’AMM peuvent être utilisées ?;1;"Celles répondant aux référentiels existants  
(avis de la Commission de la Transparence, recommandations de bonne pratique)";1
;Les études postérieures à l’AMM, publiées dans une revue à comité de lecture ou réalisées dans les conditions d'utilisation du médicament dans le cadre de l'AMM, doivent être présentées de façon complète et impartiale lors d’une information promotionnelle.;2;VRAI;1
;Les études postérieures à l’AMM, publiées dans une revue à comité de lecture ou réalisées dans les conditions d'utilisation du médicament dans le cadre de l'AMM, doivent être présentées de façon complète et impartiale lors d’une information promotionnelle.;2;FAUX;0
;L’information à un professionnel de santé de l’existence d’une RTU est possible sous réserve notamment d'être dissociée de toute communication promotionnelle.;2;VRAI;1
;L’information à un professionnel de santé de l’existence d’une RTU est possible sous réserve notamment d'être dissociée de toute communication promotionnelle.;2;FAUX;0
